Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,class,Split
111568,491.1120737,293.9110068,0.801152573,114128,0.734758929,1303.224,0,train
52051,313.7032602,213.6317375,0.732283957,53550,0.695051277,893.451,1,train
172334,595.817747,375.0205347,0.777064027,174610,0.636111296,1591.894,0,train
151908,594.1828014,328.5680583,0.833198042,155600,0.721207805,1560.016,0,train
102569,515.3952494,259.1942281,0.864342392,106888,0.573241751,1331.797,0,train
51180,288.6310651,226.6304906,0.619253764,52396,0.737442725,855.997,1,train
128107,616.9944003,267.9807338,0.900752608,133001,0.621483426,1513.469,0,train
126149,478.8771011,345.9199722,0.691520882,134778,0.624908356,1549.185,0,train
79397,434.9940818,235.5194933,0.840744874,83074,0.696116854,1148.633,0,train
141559,594.1144312,306.3100019,0.856845008,146674,0.764489545,1530.598,0,train
51350,342.6553034,204.0111119,0.803442088,54576,0.649178255,930.051,0,train
69317,393.3989966,228.722883,0.813616588,72170,0.661674303,1066.388,1,train
57303,330.0249642,221.9197863,0.740157695,58973,0.716762355,919.044,1,train
128442,585.9819941,281.6014086,0.876960072,133704,0.750683811,1499.355,0,train
81572,393.716176,265.8146124,0.737687128,84964,0.698270844,1187.338,1,train
63402,372.4843101,224.0094059,0.798953455,66639,0.676634437,1008.276,1,train
98166,420.7021756,299.5836092,0.702074218,100659,0.707426224,1245.034,0,train
49039,285.4020871,220.8199013,0.633533709,50879,0.714770872,841.666,1,train
136960,559.2958675,313.3098688,0.828366668,139458,0.722141961,1458.551,0,train
46961,343.7885277,177.1367946,0.857040355,48476,0.61463255,891.528,1,train
71639,400.4139594,231.6201421,0.815716625,76252,0.642461908,1101.879,0,test
160583,630.6452291,326.2445303,0.855792865,165385,0.751898675,1646.559,0,test
152992,572.7053956,341.2457032,0.803096791,155411,0.777524801,1500.251,0,test
52547,358.3657191,189.2067438,0.849262336,54649,0.703402763,929.471,1,test
96404,470.1016955,264.2362097,0.827080776,99678,0.754547447,1265.032,0,test
60462,373.3428463,208.1086262,0.830230914,62213,0.665683112,990.547,1,test
90559,473.5758459,246.9199675,0.853315591,95477,0.673231039,1328.744,0,test
45928,286.5405586,208.7600423,0.684989217,47336,0.699599385,844.162,1,test
39275,274.0659935,185.4112735,0.736423765,40747,0.712562139,772.501,1,test
39941,251.8477358,208.4681478,0.561090145,41594,0.70757157,777.663,1,test
62064,352.3686704,227.8641444,0.762774955,64811,0.650566038,1004.245,1,test
73193,401.072302,235.8289934,0.808863683,75563,0.740115679,1050.909,1,test
52508,297.6969009,226.2519485,0.649914023,53588,0.756163594,862.778,1,test
66793,362.2312356,236.4044486,0.757673254,69506,0.684109182,1024.169,0,test
204864,596.6398018,440.4971275,0.674476207,209457,0.751009036,1726.246,0,test
81581,424.2783146,245.5074738,0.81557794,83143,0.762382252,1114.736,1,test
79106,404.5731673,252.0663638,0.782187815,81999,0.72851683,1100.85,1,test
61123,329.3302205,257.2680933,0.624298597,70556,0.723263519,1128.077,0,test
109878,541.9483998,260.083619,0.87732059,112825,0.689192749,1369.202,0,test
149703,637.8730298,304.6225324,0.878599234,154549,0.593805036,1596.356,0,test
91831,463.3578718,257.9511277,0.830713904,95560,0.710370382,1252.762,1,test
62280,388.582055,205.5143916,0.848694829,63596,0.791440045,977.906,0,test
44081,328.5871474,173.3469657,0.849522441,46287,0.638466441,867.003,1,test
74904,342.8963104,280.1155681,0.57676457,75898,0.731741628,1012.365,1,test
51727,321.1271422,208.7667575,0.759843328,52913,0.751889645,903.308,1,test
75329,364.2307798,265.8668635,0.683510499,77541,0.723079729,1075.792,1,test
64364,376.6624701,221.6551009,0.808518015,67510,0.654744466,1057.897,1,test
64988,371.3536275,226.9099341,0.79160385,67847,0.67011755,1048.186,1,test
87036,384.9699031,289.4539006,0.659291894,88336,0.727896163,1094.59,1,test
60650,324.3616267,242.2285019,0.665065172,62580,0.721542781,941.486,1,test
40861,249.7402266,213.5732718,0.51832833,43096,0.743089401,784.912,1,test
52243,331.4511469,206.7595988,0.781583108,55774,0.714434188,934.547,1,test
121080,573.4036122,270.6325069,0.881611618,124432,0.723790395,1418.385,0,test
88338,504.4821967,227.1275085,0.892918128,90790,0.727157486,1230.493,0,test
72606,424.472024,223.232633,0.850542335,76975,0.683852617,1117.107,0,test
180898,843.9566534,323.1905688,0.923770364,221396,0.454188929,2253.557,1,test
75314,392.6515582,246.0756721,0.779258691,77118,0.704712179,1073.768,1,test
129493,497.7881364,339.5262777,0.731287033,136555,0.647529753,1447.684,0,test
101103,484.1659011,269.145887,0.83125185,105500,0.67,1307.683,0,test
152611,663.1332504,297.4179501,0.893780798,158488,0.61471504,1755.968,0,test
199015,615.4172359,413.9274732,0.740009433,201464,0.768569796,1687.866,0,test
110527,514.5888486,275.5833551,0.844509317,114538,0.689698853,1360.821,0,test
109438,502.7293381,280.3437406,0.830080564,113476,0.6354731,1323.557,0,test
105192,440.5629092,305.7917791,0.71988502,107313,0.736901835,1244.054,0,test
193032,661.1487714,376.4321931,0.822087757,197672,0.631120527,1744.271,0,test
133101,641.5097389,265.3139704,0.910468935,136793,0.582496357,1544.712,0,test
132116,519.6799838,325.3324878,0.779803256,133811,0.745071058,1393.335,0,test
52836,340.4047822,204.3355331,0.799795765,55143,0.817388614,928.274,1,test
87039,497.0580562,236.2127732,0.879866091,96247,0.636981038,1271.343,0,test
84295,458.8440074,238.289021,0.854577011,88521,0.708450645,1202.583,0,test
51336,321.8844382,206.1461473,0.768012151,53944,0.742600897,898.546,1,test
50649,327.1109948,199.5409197,0.792393852,52462,0.766294481,875.267,1,test
102868,430.0260915,312.9725953,0.685790415,106439,0.717930823,1251.802,0,test
38724,291.0010917,170.7762667,0.809690001,40133,0.780883243,769.691,1,test
71800,431.0085748,218.7157773,0.861680554,77521,0.648154835,1187.724,0,test
67852,353.1242534,247.3352308,0.713731082,69587,0.729512956,983.385,1,test
131847,560.4209076,302.6406658,0.841649703,134950,0.744313787,1446.145,0,test
63827,393.251665,209.1461847,0.846846105,66445,0.66740908,1047.037,1,test
148073,599.3628139,327.0840676,0.837967815,152985,0.690156141,1557.606,0,test
102944,477.1675089,277.2224874,0.813921262,108053,0.715684093,1339.098,0,test
94455,496.8950128,245.2439068,0.869715856,97496,0.719887507,1256.322,0,test
50274,305.3972558,212.2734472,0.718938975,52016,0.687507692,868.951,1,test
65253,418.9978869,205.7561847,0.871121605,69700,0.66625485,1075.404,0,test
110296,487.6911592,289.9248299,0.804107077,113271,0.687099748,1316.112,0,test
206720,713.4725493,373.6425439,0.851905369,210114,0.780576219,1866.091,0,test
72447,401.7420402,231.5372369,0.817214876,74481,0.709103722,1055.302,1,test
85609,512.0817743,215.2719758,0.907345395,89197,0.632019963,1272.862,0,test
41050,316.841636,167.3283344,0.849173815,42965,0.641185842,846.833,1,test
56096,313.3863101,232.2824399,0.671282476,58701,0.711769781,929.115,1,test
31275,264.687187,156.3955455,0.806767261,33540,0.658393331,727.561,1,test
78991,362.6408695,279.0908401,0.638518237,80355,0.708897225,1071.385,1,test
103313,503.4514388,266.4450356,0.848474157,108615,0.667043297,1343.017,0,test
94063,448.1210966,276.607844,0.786758156,99085,0.70929382,1259.451,1,test
40702,274.1689537,191.378387,0.71606769,41924,0.721615488,771.797,0,test
