Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,class,Split
197345,613.65,340.02,0.87,183286,0.52,2128.09,0,train
127081,613.35,418.83,0.54,53579,0.54,1383.37,1,train
177242,637.33,152.09,0.66,111055,0.54,891.78,0,train
203240,363.3,299.17,0.53,86265,0.46,1675.3,1,train
143815,535.09,310.73,0.4,189201,0.58,998.43,0,test
61385,560.92,266.02,0.91,58716,0.59,881.56,1,test
196444,644.8,227.38,0.75,185820,0.67,1547.44,0,test
127676,378.94,327.25,0.37,39984,0.78,1276.31,1,test
52870,485.01,381.0,0.48,149480,0.48,782.69,0,test
173133,371.87,281.69,0.4,37740,0.84,2037.57,1,test
148835,375.97,436.46,0.79,136664,0.69,1371.36,0,test
74591,410.19,377.35,0.36,54705,0.47,765.17,1,test
183982,566.65,292.25,0.41,124932,0.64,977.12,0,test
108093,429.33,334.76,0.73,41471,0.6,1701.38,1,test
135439,673.1,322.64,0.58,153294,0.63,1572.99,0,test
199463,423.75,438.36,0.89,69612,0.48,861.24,1,test
176604,376.83,185.45,0.77,150612,0.8,1876.11,0,test
100056,254.88,421.61,0.4,92711,0.83,2220.97,1,test
189786,407.91,185.12,0.44,175402,0.7,861.8,0,test
118672,255.11,290.6,0.38,55218,0.5,1738.74,1,test
203380,255.47,440.96,0.38,199643,0.66,2288.74,0,test
142960,512.94,420.35,0.38,85540,0.83,2124.42,1,test
112018,529.06,233.21,0.46,119711,0.59,1633.85,0,test
105283,669.73,409.82,0.38,37930,0.6,1996.89,1,test
207709,317.69,328.24,0.58,214373,0.79,2041.33,0,test
130968,644.49,271.04,0.43,38382,0.75,1692.5,1,test
108745,656.87,254.48,0.66,179543,0.61,1695.34,0,test
206405,471.68,248.63,0.73,77907,0.48,906.21,1,test
117214,528.21,260.67,0.63,172777,0.46,1103.9,0,test
158402,652.84,303.5,0.67,53041,0.63,1552.19,1,test
51557,650.74,328.08,0.76,180575,0.65,839.07,0,test
126679,514.08,373.63,0.61,56857,0.56,1280.93,1,test
146265,506.85,256.83,0.94,146279,0.54,862.85,0,test
57514,360.68,198.2,0.46,86312,0.52,2134.82,1,test
185791,617.68,227.37,0.45,158036,0.82,1590.82,0,test
132890,375.99,380.85,0.46,93528,0.62,1512.18,1,test
73633,301.68,333.19,0.52,141691,0.51,1469.82,0,test
125866,273.32,250.98,0.43,44851,0.85,1215.77,1,test
175777,364.59,354.45,0.81,144384,0.64,1358.95,0,test
92796,668.29,399.19,0.93,56243,0.74,2201.34,1,test
62621,279.92,372.34,0.69,190421,0.51,1972.43,0,test
187896,426.6,394.98,0.61,103488,0.64,1182.2,1,test
163910,265.09,320.97,0.81,196955,0.59,2014.01,0,test
162559,670.47,427.67,0.62,54175,0.84,2042.24,1,test
52439,664.38,410.97,0.66,143568,0.61,787.62,0,test
92342,406.13,371.25,0.62,75001,0.63,925.37,1,test
209437,475.99,328.62,0.39,173242,0.53,2136.89,0,test
58107,572.19,347.68,0.37,74508,0.54,1775.03,1,test
33547,296.85,389.97,0.46,155063,0.55,859.11,0,test
82766,653.35,153.9,0.4,71874,0.46,990.3,1,test
136253,370.63,337.24,0.6,136232,0.62,1171.15,0,test
180287,692.98,307.71,0.45,83921,0.46,2162.88,1,test
51195,509.43,232.22,0.68,154815,0.78,1030.27,0,test
68689,264.03,228.68,0.71,42616,0.65,1654.95,1,test
